ISBN,Title,Author,Genre,Publication Year,Copies Available,Acquisition Date,Status,ISBN_valid
978-0-13-299678-5,Extended fault-tolerant customer loyalty,Miss Rosie Jackson,Children,2021,5,2024-07-01,Missing,True
978-1-63858-692-0,Digitized full-range structure,Damien Scott,Young Adult,1966,4,2018-01-18,Checked Out,True
978-0-662-87117-0,Customizable intermediate hub,Mr Stanley Ward,Reference,2009,1,2023-05-11,Checked Out,True
9780945069898,Mandatory motivating time-frame,Philip Jenkins,Reference,1994,1,2021-03-01,Reserved,True
978-0-9972855-4-3,Decentralized local paradigm,Diana Lee,Children,1973,0,2021-12-12,Reserved,True
978-0-491-42154-6,Integrated uniform alliance,Marc Hall,Reference,1952,2,2019-09-05,Missing,True
978-0-85740-405-3,Diverse value-added secured line,Norman Woods-Hall,Young Adult,1952,6,2025-01-25,Available,True
978-0-547-66307-4,Switchable leadingedge orchestration,Dr Shaun Hamilton,Children,2020,0,2022-03-26,Checked Out,True
978-1-5194-0723-8,Grass-roots incremental benchmark,Mrs Abigail Iqbal,Non-Fiction,1983,0,2023-03-10,Damaged,True
978-0-8292-2092-6,Intuitive background system engine,Stuart Richards-Burgess,Children,1988,7,2021-08-20,Reserved,True
978-0-11-474729-9,Re-engineered analyzing strategy,Miss Georgia Clarke,Young Adult,2001,9,2020-08-07,Reserved,True
978-0-497-57456-7,Quality-focused executive forecast,Janice Barnes,Fiction,2024,0,2017-11-21,Reserved,True
978-1-65190-348-3,Exclusive actuating open architecture,Stephanie Archer,Fiction,2014,9,2016-03-12,Missing,True
978-0-644-90359-2,Fully-configurable explicit capability,Maurice Jones,Children,2005,6,2024-08-16,Reserved,True
978-0-430-71821-8,Self-enabling national complexity,Lorraine Davies,Non-Fiction,1954,1,2024-08-18,Damaged,True
978-0-318-67811-5,Switchable 4thgeneration moratorium,Mr Martin Bennett,Children,1995,6,2018-02-20,Checked Out,True
978-1-970257-95-3,Front-line zero tolerance help-desk,Miss Abigail Knowles,Non-Fiction,2015,8,2024-10-26,Damaged,True
978-1-4728-6399-7,Total hybrid complexity,Julie Adams-Barnes,Reference,2015,8,2022-10-22,Damaged,True
978-0-317-59145-3,Advanced real-time analyzer,Danny Brown,Young Adult,1994,6,2017-09-11,Missing,True
978-1-286-93953-6,Re-engineered scalable toolset,Mr James Cooper,Reference,1980,1,2022-12-18,Checked Out,True
9780382765346,Quality-focused static application,Mr Denis Hodgson,Young Adult,1956,6,2019-09-04,Checked Out,True
978-0-85855-201-2,Adaptive systemic budgetary management,Bruce Watson,Non-Fiction,1952,1,2022-09-17,Available,True
978-1-4484-7920-7,Organized encompassing approach,Mrs Beth Parry,Non-Fiction,2021,6,2025-06-28,Available,True
978-0-221-77599-4,Business-focused client-driven hardware,Dr Terry Anderson,Children,2011,9,2025-09-30,Reserved,True
978-0-03-204103-5,Sharable mobile capacity,Joshua Holloway,Young Adult,1960,9,2017-04-14,Missing,True
9780957551268,Extended maximized approach,Matthew Hughes,Fiction,1977,8,2021-11-09,Available,True
9780022517663,Optional national process improvement,Nicholas Hardy,Non-Fiction,1992,1,2017-06-04,Reserved,True
978-1-213-34595-9,Realigned context-sensitive productivity,Jeffrey Hunt,Reference,1991,3,2025-02-24,Missing,True
978-0-19-295909-6,Upgradable non-volatile framework,Dr Ian Myers,Non-Fiction,2022,4,2020-10-07,Reserved,True
978-1-63782-564-8,Visionary multimedia help-desk,Allan Walker,Fiction,1965,4,2025-09-26,Damaged,True
978-1-955770-51-4,Realigned incremental hierarchy,Mr Joe Hall,Reference,1956,5,2023-01-30,Checked Out,True
978-1-5115-9059-4,Devolved full-range installation,Julian Harper,Children,2006,2,2024-07-05,Missing,True
978-1-69795-080-9,Vision-oriented exuding solution,Dr Sarah Marshall,Non-Fiction,1995,1,2022-01-24,Damaged,True
978-0-85041-627-5,Managed 24hour website,Stanley Humphries,Young Adult,1977,10,2022-03-06,Available,True
978-0-521-23802-1,Reduced systematic success,Holly Harrison-Palmer,Reference,1992,3,2025-08-28,Checked Out,True
978-1-63514-874-9,Reverse-engineered methodical product,Sally Davies,Young Adult,2013,0,2017-02-05,Missing,True
978-1-58938-533-7,Managed motivating protocol,Jemma John-Lee,Children,2015,8,2022-08-11,Damaged,True
978-1-953595-22-5,Reactive transitional leverage,Declan Storey,Reference,2002,5,2017-01-29,Damaged,True
978-0-18-174973-8,Visionary asymmetric capability,Dawn Lawrence,Non-Fiction,1971,5,2020-01-07,Missing,True
978-1-09-891050-1,Horizontal systematic system engine,Dr Ellie Baker,Non-Fiction,1970,8,2021-12-20,Checked Out,True
978-1-00-597583-8,Fundamental systematic frame,Miss Chloe Archer,Reference,1950,1,2022-12-11,Missing,True
978-0-8418-2865-0,Future-proofed non-volatile alliance,Dr Henry Williams,Non-Fiction,1969,3,2019-01-11,Reserved,True
978-1-4151-9093-7,Persevering holistic knowledge user,Dr David Robinson,Non-Fiction,1955,6,2024-05-01,Missing,True
978-0-616-94135-5,Cross-platform composite moratorium,Ashleigh Martin-Baker,Reference,1993,6,2018-12-01,Missing,True
978-1-82770-699-3,De-engineered client-driven instruction set,Hugh Griffiths,Children,2004,7,2019-07-13,Damaged,True
978-0-608-27610-6,Advanced composite structure,Stacey Bradley,Young Adult,2014,0,2022-05-13,Missing,True
978-1-59691-573-2,Triple-buffered empowering policy,Alison Moore-Bennett,Young Adult,1985,5,2022-05-22,Missing,True
978-0-7598-4913-6,Upgradable needs-based support,Jay Hill,Non-Fiction,2011,4,2024-06-28,Reserved,True
978-0-11-337952-1,Expanded dedicated attitude,Elaine Thompson-Reeves,Reference,1991,9,2024-11-01,Damaged,True
978-1-127-87963-2,Fully-configurable value-added migration,Mohammad Berry,Children,1968,1,2024-03-14,Checked Out,True
978-0-220-82204-0,Horizontal multi-state frame,Trevor Taylor,Children,1975,1,2016-11-26,Damaged,True
978-0-649-57104-8,Digitized static Graphical User Interface,Bryan Brown,Children,1994,10,2022-10-26,Reserved,True
978-1-224-17018-2,Vision-oriented solution-oriented definition,Mr Trevor Hughes,Reference,1970,8,2022-07-18,Missing,True
978-1-03-057925-4,Triple-buffered scalable array,Nathan Wilson,Young Adult,1985,8,2025-01-01,Damaged,True
9780682201520,Seamless system-worthy matrix,Rhys Fisher,Children,1961,10,2025-10-11,Available,True
978-0-11-670062-9,Balanced multimedia challenge,Emily Phillips,Children,2017,6,2020-05-09,Checked Out,True
978-1-4536-2921-5,Versatile tangible encryption,Mohammed Thomas-Davis,Young Adult,2006,5,2016-10-31,Available,True
978-1-968950-92-7,Re-contextualized attitude-oriented moderator,Kathryn Singh-Begum,Fiction,2013,6,2018-05-08,Reserved,True
978-1-972547-20-5,Horizontal mobile extranet,Dr Philip Davies,Children,1978,4,2020-04-05,Missing,True
9781394904655,Cross-platform executive framework,Natasha Burton-Roberts,Young Adult,1995,5,2020-08-19,Available,True
978-1-5252-8886-9,Innovative homogeneous functionalities,Mr Leonard Morrison,Children,2005,4,2024-09-25,Available,True
978-0-17-842139-5,Cross-platform directional time-frame,Dr Kerry Smith,Reference,2001,7,2017-12-21,Missing,True
978-1-77271-542-2,Diverse eco-centric budgetary management,Katherine Coates,Reference,2004,3,2025-09-01,Available,True
978-0-8341-2472-1,Enterprise-wide discrete knowledgebase,Gemma Williams,Fiction,2022,3,2024-12-03,Reserved,True
978-1-370-06323-9,Right-sized real-time open architecture,Terry Duffy,Reference,1973,0,2020-09-05,Available,True
978-0-352-10858-6,Ergonomic scalable knowledgebase,Miss Bethan Murray,Young Adult,1974,0,2024-09-16,Available,True
9781321894516,Upgradable analyzing open architecture,Kyle Miller,Children,2023,7,2021-06-04,Checked Out,True
978-0-19-942817-5,Triple-buffered next generation encoding,Mary Porter-Metcalfe,Non-Fiction,1985,2,2018-05-03,Checked Out,True
978-1-5343-3497-7,Universal bandwidth-monitored throughput,Ross Clarke,Reference,1985,8,2015-11-28,Checked Out,True
978-0-242-43009-4,Stand-alone attitude-oriented software,Bernard Wilson-Patel,Children,1971,7,2017-12-31,Damaged,True
978-0-08-724478-8,Front-line object-oriented support,June Iqbal,Young Adult,2020,0,2017-02-19,Missing,True
978-1-79896-910-6,Digitized exuding budgetary management,Tony Lee,Reference,1982,6,2022-05-17,Available,True
978-0-449-52076-5,Re-engineered optimal product,Mr Antony Wilkins,Fiction,2014,0,2024-11-04,Reserved,True
978-0-19-778951-3,Optimized impactful help-desk,Mr Alexander Shaw,Fiction,1976,3,2016-04-07,Reserved,True
9781402776014,Synchronized clear-thinking definition,Georgina Khan,Reference,1950,1,2024-03-21,Reserved,True
978-0-00-036685-6,Phased fault-tolerant encoding,Frank Turner,Non-Fiction,2006,3,2018-02-24,Reserved,True
978-1-184-58163-9,Business-focused context-sensitive benchmark,Naomi Nelson,Reference,2001,6,2021-02-21,Damaged,True
978-1-372-51129-5,Switchable multi-state alliance,Timothy Nolan-Atkinson,Fiction,1994,5,2016-04-23,Reserved,True
9780370506746,Realigned uniform conglomeration,Clive Walsh,Children,2003,0,2025-09-28,Reserved,True
978-1-4654-7631-9,Optional real-time array,Sheila Nixon-Wright,Non-Fiction,2024,2,2024-03-17,Damaged,True
978-1-5354-2372-4,Function-based intermediate interface,Alex Morris,Fiction,2005,7,2017-01-15,Reserved,True
978-1-61747-904-5,Multi-channeled web-enabled groupware,Rachel Harris,Young Adult,1967,7,2023-05-09,Checked Out,True
978-1-964254-97-5,Public-key actuating implementation,Pauline Jones-Richards,Fiction,1992,3,2025-03-18,Damaged,True
978-0-348-97311-2,Optimized 6thgeneration capability,Dr Kerry Henry,Children,2023,1,2024-08-16,Available,True
9780115424014,Monitored 3rdgeneration service-desk,Callum Dobson-Dawson,Reference,1969,8,2021-11-23,Reserved,True
978-1-80883-585-8,Multi-channeled motivating project,Shirley Smith,Young Adult,2006,10,2018-05-31,Checked Out,True
978-1-9799-7425-7,Upgradable explicit complexity,Gregory Miah,Reference,1996,0,2016-05-12,Checked Out,True
978-0-682-75684-6,Reduced modular service-desk,Ben Long,Fiction,1995,5,2022-09-17,Checked Out,True
9781725308152,Progressive 24hour moratorium,Dr Gerald Bishop,Reference,1981,0,2023-07-25,Damaged,True
978-1-119-32467-6,Compatible secondary structure,Lawrence Richards,Young Adult,1993,5,2017-04-29,Missing,True
978-0-371-00295-7,Seamless secondary info-mediaries,Katherine Ford,Non-Fiction,1961,2,2023-06-13,Damaged,True
978-1-70532-093-8,Multi-tiered asynchronous definition,Guy Brown,Non-Fiction,2003,4,2018-09-01,Checked Out,True
978-1-197-29410-6,Extended interactive methodology,Mrs Georgina Pearce,Reference,1997,6,2022-12-26,Damaged,True
978-1-01-171303-5,Triple-buffered mobile algorithm,Bernard Spencer,Reference,1984,4,2018-06-06,Damaged,True
978-0-87737-316-2,Re-engineered client-server knowledge user,Ms Grace Gordon,Fiction,2007,8,2025-01-18,Missing,True
978-0-06-977400-5,Right-sized system-worthy Local Area Network,Charlotte Lewis,Fiction,2011,5,2017-02-08,Available,True
978-1-180-61085-2,Fully-configurable logistical analyzer,Rachael Farmer,Reference,2022,1,2015-12-28,Missing,True
978-0-221-26839-7,Balanced foreground attitude,Mr Benjamin Preston,Reference,1958,7,2024-02-09,Damaged,True
978-1-934910-67-2,Optional reciprocal model,Ryan Thomas,Children,1997,1,2025-08-04,Checked Out,True
978-1-116-32822-6,Multi-lateral bifurcated open system,Miss Mary Walker,Reference,1985,4,2024-12-15,Available,True
978-1-167-21170-6,Distributed fresh-thinking extranet,Dr Joel Black,Children,1971,5,2019-01-19,Checked Out,True
978-1-218-25480-5,Managed tangible Local Area Network,Miss Susan Robinson,Fiction,2004,4,2017-06-28,Missing,True
978-1-263-35231-0,Switchable maximized product,Miss Lynda Williams,Reference,1972,8,2025-03-19,Checked Out,True
978-0-02-061392-3,Advanced disintermediate benchmark,Dr Eric Field,Reference,1993,10,2023-02-08,Missing,True
978-1-4822-8780-6,Proactive content-based pricing structure,Gemma Woodward,Young Adult,1984,7,2024-10-08,Damaged,True
978-0-09-666762-2,Re-contextualized homogeneous alliance,Jason May,Young Adult,1994,6,2022-11-16,Reserved,True
978-1-991047-16-8,Innovative radical Graphic Interface,Dr Shaun Dawson,Reference,1954,7,2024-04-09,Available,True
978-1-57713-715-3,Exclusive eco-centric concept,Tony Morris,Children,1991,4,2017-11-26,Missing,True
978-1-322-76654-6,Versatile upward-trending monitoring,Jacob Clarke,Children,1976,10,2024-05-25,Reserved,True
978-1-4540-3002-7,Stand-alone bandwidth-monitored framework,Lorraine Sanderson,Non-Fiction,2005,8,2023-05-09,Damaged,True
978-1-388-23234-4,Managed uniform encryption,Melanie Cooper,Young Adult,1963,5,2020-12-06,Damaged,True
978-0-89657-549-3,Sharable coherent secured line,Natalie Gray,Reference,1972,2,2021-12-06,Available,True
978-0-337-61915-1,Synergistic logistical matrices,Carol Austin,Reference,1984,9,2024-07-20,Available,True
9780581623157,Fully-configurable reciprocal flexibility,Harriet Ford,Young Adult,2001,3,2019-05-14,Reserved,True
978-1-5091-6397-7,Sharable high-level adapter,Dr Katy Mitchell,Fiction,1994,3,2023-05-20,Reserved,True
978-1-109-81009-7,Fundamental explicit definition,Karen Khan,Reference,2009,7,2020-08-31,Available,True
978-0-656-94276-3,Self-enabling content-based neural-net,Ellie Carey,Fiction,1956,1,2019-08-11,Available,True
978-0-676-31143-3,Configurable value-added approach,Leslie Wilson,Children,1982,7,2021-10-01,Damaged,True
978-0-414-26429-8,Face-to-face 4thgeneration utilization,Miss Janice Gregory,Non-Fiction,1986,9,2018-08-06,Reserved,True
9780816742899,Intuitive fault-tolerant application,Miss Lydia Jones,Non-Fiction,1959,10,2018-03-31,Reserved,True
978-1-5289-7245-1,Robust logistical open system,Billy Dunn,Reference,2011,2,2017-08-27,Checked Out,True
978-1-5404-2100-5,Customizable exuding productivity,Stewart Matthews,Children,1996,7,2016-11-17,Missing,True
978-1-85453-905-2,Organic tertiary process improvement,Karl Cooper,Children,2001,4,2017-01-23,Available,True
978-0-339-53002-7,Streamlined grid-enabled support,Ms Hilary Shepherd,Non-Fiction,1993,4,2022-05-16,Damaged,True
9781377312521,Integrated high-level moderator,Duncan Gough-Lees,Children,1962,6,2025-10-13,Missing,True
978-0-7517-3358-7,Exclusive incremental circuit,Kim Mistry-Harvey,Children,1997,7,2016-08-25,Checked Out,True
978-1-4387-8717-6,Cloned discrete Graphic Interface,Leon Stevens,Reference,1990,2,2024-09-29,Checked Out,True
978-0-548-25627-5,Extended reciprocal interface,Dr Nigel Davies,Non-Fiction,2018,5,2017-10-21,Reserved,True
978-1-120-99286-4,Switchable national protocol,Jay Jones-Harris,Children,2020,0,2022-06-14,Missing,True
978-1-5153-6720-8,Team-oriented optimizing intranet,Dr Jack Mason,Children,2012,9,2019-07-16,Reserved,True
978-0-85685-944-1,Configurable intangible forecast,Mr Timothy Gibson,Young Adult,1996,8,2024-11-01,Available,True
978-1-68540-262-4,Cross-platform multi-state analyzer,Mrs Lesley Banks,Young Adult,2001,0,2019-11-15,Checked Out,True
978-0-518-52291-1,Optimized heuristic initiative,Caroline Booth,Reference,1983,10,2016-05-26,Available,True
978-0-9871484-5-2,Future-proofed fault-tolerant customer loyalty,Sarah Hall,Non-Fiction,2002,2,2018-09-15,Checked Out,True
